"","Landfill","AD","Compost","Animal.Feed"
"MSWFW",623.246782655189,-32.3446533379162,14.6708928357143,-161.305475206612
"Whey",206.777238079498,-7.00866664055906,-58.5596119063043,-36.244710756702
"Tomato Pomace",263.674540645854,7.35030746268039,-4.94130768965715,-152.982952066116
"Apple Pomace",207.743172817828,8.09169685620241,-2.07020375868572,-118.398838016529
"Brewers spent grains",668.002719027764,-46.6893701183417,-6.34133012257142,-110.342026859504
"Baked goods",3114.93825416085,-283.963353539716,156.804925520857,-465.734900826446
"Canned goods",332.860413414689,-17.1788723704094,-46.02978323,-59.9245196280992
"Coffee grounds and filter paper",730.098537207301,-43.3154440475004,9.00683969525713,-139.19709607438
"Fresh produce",245.888381603697,-9.49947665337377,-55.11801631,-43.6002954545455
"Post consumer",1633.02877094574,-111.588366898309,22.4422720470286,-130.250129132231
"Prep waste",186.776626120597,1.07101155651045,-42.2914108389143,-66.2632159090909
"Sweet Cereals",2188.22760913462,-144.612614030529,148.849378576171,-396.387306818182
"Salad ",111.410867695402,2.45324460070179,-61.5405933925143,-16.2488863636364
"Dry goods",1824.37670272473,-94.8315043210241,156.1875509764,-400.508181818182
"Refrigerated and frozen goods",1064.40994043046,-82.3494175121408,8.75463128680001,-195.589338842975
